- inbalanced -------------------------------------------------------------------
0x7fffcc001a00 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 2544}
0x7fffb8001730 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 4, 'realla': 0, 'idx': 2559}
0x7fffe8001c50 {'malloc': 0, 'reallo': 0, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 2587}
0x7fffdc001c50 {'malloc': 0, 'reallo': 0, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 2602}
0x7fffc0001770 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 2669}
0x7fffdc001c90 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 2709}
0x7fffc4001730 {'malloc': 0, 'reallo': 0, 'free': 9, 'calloc': 4, 'realla': 0, 'idx': 2724}
0x7fffd8001a00 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 2749}
0x7fffe8001c90 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 2764}
0x7fffc4001770 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 2818}
0x7fffb8001770 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 2846}
0x7fffcc001c50 {'malloc': 0, 'reallo': 0, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 2874}
0x7fffd0001a00 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 2912}
0x7ffff0002020 {'malloc': 0, 'reallo': 1, 'free': 1, 'calloc': 0, 'realla': 0, 'idx': 2926}
0x7fffcc001c90 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 2967}
0x7fffe4001f20 {'malloc': 0, 'reallo': 0, 'free': 21, 'calloc': 0, 'realla': 0, 'idx': 2979}
0x7fffc0001a00 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 2991}
0x7fffd8001c50 {'malloc': 0, 'reallo': 0, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 3071}
0x7fffd8001c90 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 3138}
0x7fffb8001a00 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 3163}
0x7fffe8001f20 {'malloc': 0, 'reallo': 0, 'free': 21, 'calloc': 0, 'realla': 0, 'idx': 3213}
0x7fffc0001c50 {'malloc': 0, 'reallo': 0, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 3228}
0x7fffc4001a00 {'malloc': 0, 'reallo': 0, 'free': 29, 'calloc': 0, 'realla': 0, 'idx': 3253}
0x7fffc0001c90 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 3294}
0x7fffcc001f20 {'malloc': 0, 'reallo': 0, 'free': 21, 'calloc': 0, 'realla': 0, 'idx': 3371}
0x7fffb8001c50 {'malloc': 0, 'reallo': 0, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 3423}
0x7fffd8001f20 {'malloc': 0, 'reallo': 0, 'free': 21, 'calloc': 0, 'realla': 0, 'idx': 3539}
0x7fffe4002020 {'malloc': 0, 'reallo': 1, 'free': 1, 'calloc': 0, 'realla': 0, 'idx': 3553}
0x7fffdc001f20 {'malloc': 0, 'reallo': 0, 'free': 21, 'calloc': 0, 'realla': 0, 'idx': 3578}
0x7fffc0001f20 {'malloc': 0, 'reallo': 0, 'free': 21, 'calloc': 0, 'realla': 0, 'idx': 3616}
0x7fffb8001c90 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 3631}
0x7fffd0001c50 {'malloc': 0, 'reallo': 0, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 3670}
0x7fffc4001c50 {'malloc': 0, 'reallo': 0, 'free': 4, 'calloc': 1, 'realla': 0, 'idx': 3685}
0x7fffe8002020 {'malloc': 0, 'reallo': 1, 'free': 1, 'calloc': 0, 'realla': 0, 'idx': 3751}
0x7fffc4001c90 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 3804}
0x7fffd0001c90 {'malloc': 0, 'reallo': 0, 'free': 2, 'calloc': 1, 'realla': 0, 'idx': 3845}
0x7fffcc002020 {'malloc': 0, 'reallo': 1, 'free': 1, 'calloc': 0, 'realla': 0, 'idx': 3885}
0x7fffb8001f20 {'malloc': 0, 'reallo': 0, 'free': 21, 'calloc': 0, 'realla': 0, 'idx': 4076}
0x7fffc4001f20 {'malloc': 0, 'reallo': 0, 'free': 21, 'calloc': 0, 'realla': 0, 'idx': 4125}
0x7fffd8002020 {'malloc': 0, 'reallo': 1, 'free': 1, 'calloc': 0, 'realla': 0, 'idx': 4139}
0x7ffff00021d0 {'malloc': 0, 'reallo': 1, 'free': 2, 'calloc': 0, 'realla': 0, 'idx': 4230}
0x7fffdc002020 {'malloc': 0, 'reallo': 1, 'free': 1, 'calloc': 0, 'realla': 0, 'idx': 4269}
0x7fffd0001f20 {'malloc': 0, 'reallo': 0, 'free': 21, 'calloc': 0, 'realla': 0, 'idx': 4281}
0x7fffc0002020 {'malloc': 0, 'reallo': 1, 'free': 1, 'calloc': 0, 'realla': 0, 'idx': 4308}
0x7fffc4002020 {'malloc': 0, 'reallo': 1, 'free': 1, 'calloc': 0, 'realla': 0, 'idx': 4625}
0x7fffb8002020 {'malloc': 0, 'reallo': 1, 'free': 1, 'calloc': 0, 'realla': 0, 'idx': 4717}
0x7fffd0002020 {'malloc': 0, 'reallo': 1, 'free': 1, 'calloc': 0, 'realla': 0, 'idx': 4744}
0x7fffcc0021d0 {'malloc': 0, 'reallo': 1, 'free': 2, 'calloc': 0, 'realla': 0, 'idx': 5111}
0x7fffe80021d0 {'malloc': 0, 'reallo': 1, 'free': 2, 'calloc': 0, 'realla': 0, 'idx': 5125}
0x7fffd80021d0 {'malloc': 0, 'reallo': 1, 'free': 2, 'calloc': 0, 'realla': 0, 'idx': 5165}
